dimension,w_statistic,p_value,p_value_bonferroni,p_value_bh
0,231499.0,0.04011811393708853,1.0,0.04661227156381844
1,76971.0,3.1632878973614756e-80,2.4294051051736134e-77,3.374173757185574e-79
2,98616.0,7.177450768739861e-62,5.512282190392213e-59,4.3748271352319154e-61
3,135346.0,2.8015338774229816e-36,2.15157801786085e-33,8.275300068695576e-36
4,154874.0,1.6265266437778937e-25,1.2491724624214223e-22,3.808452629333605e-25
5,156637.0,1.2193502310497616e-24,9.36460977446217e-22,2.795405902824528e-24
6,173823.0,5.966389269584337e-17,4.582186959040771e-14,1.1068084442127466e-16
7,234779.0,0.09036151068823203,1.0,0.10172418641336808
8,144541.0,5.769198152795943e-31,4.430744181347284e-28,1.5438133036053254e-30
9,233262.0,0.06294944849760378,1.0,0.07237301863197561
10,198467.0,1.4422558004919325e-08,1.1076524547778042e-05,2.1178823227109065e-08
11,247868.0,0.7942933295628842,1.0,0.804772133382975
12,106301.0,6.147084057943288e-56,4.720960556500445e-53,3.1473070376669633e-55
13,166455.0,4.6257123149639864e-20,3.5525470578923414e-17,9.299861408095135e-20
14,240081.0,0.26565525441227966,1.0,0.2865494879053803
15,169174.0,7.00724629673848e-19,5.3815651558951525e-16,1.372848254054886e-18
16,212074.0,2.9300085649502072e-05,0.022502465778817593,3.859771145594784e-05
17,231931.0,0.04493708352720078,1.0,0.05197542191097921
18,125471.0,1.793575693895014e-42,1.3774661329113708e-39,6.436757630426966e-42
19,132454.0,4.850167181322159e-38,3.724928395255419e-35,1.5456134420146965e-37
20,193605.0,5.628355634304261e-10,4.3225771271456726e-07,8.576541918939826e-10
21,137426.0,4.871548030698233e-35,3.741348887576243e-32,1.3960257043194936e-34
22,231463.0,0.0397371045003526,1.0,0.04623953978222848
23,198728.0,1.703217689426356e-08,1.3080711854794414e-05,2.4868273488202308e-08
24,202445.0,1.6691329360733645e-07,0.0001281894094904344,2.3651182562810775e-07
25,202756.0,2.00567999818961e-07,0.00015403622386096205,2.8365541594404795e-07
26,95747.0,3.653006374777892e-64,2.8055088958294208e-61,2.2809015413247324e-63
27,148879.0,1.3071635725026019e-28,1.0039016236819982e-25,3.313206678818476e-28
28,243344.0,0.44968049762139317,1.0,0.4750407457678541
29,175665.0,3.2341685205960806e-16,2.48384142381779e-13,5.885880151226991e-16
30,248891.0,0.8817434157438457,1.0,0.8898540647717129
31,228854.0,0.01917768656101145,1.0,0.022589667605608578
32,134920.0,1.551023084748976e-36,1.1911857290872136e-33,4.61699894995044e-36
33,189091.0,2.162402035423029e-11,1.6607247632048862e-08,3.474319588294741e-11
34,214222.0,8.022941953330421e-05,0.06161619420157763,0.00010408140912428654
35,183630.0,3.0450527129359753e-13,2.338600483534829e-10,5.151102386640593e-13
36,122325.0,1.4945678284539114e-44,1.1478280922526039e-41,5.571981030352446e-44
37,208967.0,6.215029629148615e-06,0.004773142755186136,8.388651590836795e-06
38,73325.0,1.4756003942345118e-83,1.133261102772105e-80,1.7434786196493922e-82
39,151769.0,4.280106720168491e-27,3.287121961089401e-24,1.056952399064116e-26
40,45342.0,2.0183513605514448e-111,1.5500938449035096e-108,7.381399261445284e-110
41,152389.0,8.930631596528402e-27,6.858725066133813e-24,2.1912859636210263e-26
42,69992.0,1.157200152015665e-86,8.887297167480308e-84,1.6457957717556125e-85
43,140622.0,3.546476650493894e-33,2.7236940675793104e-30,9.832830568878377e-33
44,104775.0,4.3150202235892924e-57,3.313935531716577e-54,2.269818857340121e-56
45,45292.0,1.7847213819198634e-111,1.370666021314455e-108,6.853330106572276e-110
46,53887.0,1.757328664909558e-102,1.3496284146505405e-99,4.498761382168468e-101
47,234224.0,0.07938845221488117,1.0,0.0903264167422648
48,246586.0,0.688368236392344,1.0,0.7048890740657603
49,176573.0,7.33161573618243e-16,5.630680885388106e-13,1.3279907748556852e-15
50,185104.0,9.961203441233143e-13,7.650204242867055e-10,1.655888364256938e-12
51,135794.0,5.205012228970082e-36,3.997449391849023e-33,1.5257440426904668e-35
52,66378.0,4.274297861991016e-90,3.2826607580091e-87,7.136219039150217e-89
53,182443.0,1.1508507281107151e-13,8.838533591890292e-11,1.9684930048753436e-13
54,216871.0,0.00025844026337198793,0.19848212226968673,0.0003291577483742732
55,134307.0,6.598976458743989e-37,5.068013920315384e-34,2.011116635045787e-36
56,79148.0,2.85931963975314e-78,2.1959574833304114e-75,2.7110586213955696e-77
57,231112.0,0.03618053356714721,1.0,0.042228951032779724
58,245690.0,0.6176745280347639,1.0,0.6384576548192445
59,170779.0,3.3455120386806943e-18,2.5693532457067733e-15,6.471922533266431e-18
60,110255.0,5.270101186447821e-53,4.0474377111919266e-50,2.4679498238975166e-52
61,132838.0,8.359075901270538e-38,6.419770292175773e-35,2.6527976413949475e-37
62,64195.0,3.346770446735263e-92,2.5703197030926816e-89,5.711821562428182e-91
63,126657.0,1.057433124205636e-41,8.121086393899285e-39,3.742436126220869e-41
64,100487.0,2.1308405619571651e-60,1.6364855515831028e-57,1.2212578743157484e-59
65,131089.0,6.906329090402562e-39,5.3040607414291674e-36,2.266692624542379e-38
66,165254.0,1.3542236584315532e-20,1.040043769675433e-17,2.7808656943193394e-20
67,78420.0,6.38060423930146e-79,4.9003040557835214e-76,6.282441097158361e-78
68,147118.0,1.485785230653299e-29,1.1410830571417337e-26,3.829137775643402e-29
69,184461.0,5.958597483786918e-13,4.576202867548353e-10,9.991709317791163e-13
70,201613.0,1.0155124455095699e-07,7.799135581513497e-05,1.4442843669469438e-07
71,220413.0,0.0010906607410394232,0.837627449118277,0.0013553842218742348
72,114514.0,6.174346056895232e-50,4.741897771695538e-47,2.725228604422723e-49
73,185896.0,1.863325115792794e-12,1.4310336889288657e-09,3.0512445392939565e-12
74,51501.0,6.120047646589406e-105,4.700196592580664e-102,1.8077679202233323e-103
75,92070.0,3.6395526438713875e-67,2.7951764304932256e-64,2.4956932415118084e-66
76,84096.0,6.468097810112665e-74,4.967499118166526e-71,5.644885361552871e-73
77,171529.0,6.8734244687523524e-18,5.278789992001806e-15,1.3196974980004516e-17
78,131453.0,1.1639269120179705e-38,8.938958684298013e-36,3.8038122060842616e-38
79,158561.0,1.0534153119684848e-23,8.090229595917963e-21,2.3382166462190646e-23
80,227915.0,0.014491473346230452,1.0,0.01720162523942038
81,245734.0,0.6210713773981504,1.0,0.6402453930762141
82,135291.0,2.5959516967196875e-36,1.99369090308072e-33,7.697648274442934e-36
83,99324.0,2.6021969558471308e-61,1.9984872620905964e-58,1.525562795489005e-60
84,199214.0,2.316562165724951e-08,1.7791197432767624e-05,3.3631753181035204e-08
85,89338.0,1.929562852727629e-69,1.481904270894819e-66,1.467231951381009e-68
86,226508.0,0.009353448997173485,1.0,0.011206628439671197
87,102594.0,9.228865967978165e-59,7.087769063407231e-56,5.173554060881191e-58
88,219689.0,0.0008219881978124302,0.6312869359199464,0.0010298318693636973
89,164436.0,5.808735466276735e-21,4.461108838100532e-18,1.2024552124260195e-20
90,233498.0,0.0666962756345832,1.0,0.07645185027964164
91,246736.0,0.70049592411325,1.0,0.7163526893728043
92,58728.0,1.3845285224772116e-97,1.0633179052624985e-94,2.79820501384868e-96
93,167545.0,1.3897448432458036e-19,1.0673240396127772e-16,2.77227023276046e-19
94,124858.0,7.122048768274959e-43,5.469733454035168e-40,2.5922907365095584e-42
95,164134.0,4.241234456796827e-21,3.2572680628199635e-18,8.827284723089331e-21
96,20676.0,2.353927481582534e-139,1.807816305855386e-136,6.026054352851287e-137
97,114286.0,4.252939758094176e-50,3.2662577342163274e-47,1.888010250992097e-49
98,104096.0,1.3114897916885298e-57,1.0072241600167908e-54,7.043525594523013e-57
99,55465.0,7.149821866051368e-101,5.4910631931274505e-98,1.6639585433719548e-99
100,208901.0,6.006411022490704e-06,0.004612923665272861,8.135667839987409e-06
101,206351.0,1.5452518532708875e-06,0.0011867534233120417,2.138294456418093e-06
102,74111.0,7.815043291574013e-83,6.001953247928842e-80,8.826401835189473e-82
103,61283.0,4.74798769832607e-95,3.6464545523144217e-92,9.116136380786055e-94
104,143786.0,2.19419136220918e-31,1.6851389661766502e-28,5.892094287330945e-31
105,70336.0,2.4355821088915416e-86,1.8705270596287037e-83,3.400958290234007e-85
106,233842.0,0.07248495152817618,1.0,0.08271685404701233
107,118418.0,3.3190979927684953e-47,2.5490672584462043e-44,1.355886839599045e-46
108,241032.0,0.3129626374116091,1.0,0.33522357814799975
109,247420.0,0.7567291895638063,1.0,0.7707798641710918
110,134893.0,1.4938672060681443e-36,1.1472900142603348e-33,4.481601618204433e-36
111,119540.0,1.9549421519546164e-46,1.5013955727011455e-43,7.739152436603842e-46
112,121787.0,6.513557563806673e-45,5.002412209003525e-42,2.464242467489421e-44
113,71092.0,1.2437136392600998e-85,9.551720749517567e-83,1.6757404823715028e-84
114,90556.0,2.0172562234898954e-68,1.5492527796402397e-65,1.4615592260756977e-67
115,147966.0,4.2531748670632665e-29,3.266438297904589e-26,1.0924542802356484e-28
116,227091.0,0.011243408263456718,1.0,0.013408288115426647
117,120130.0,4.93719276292455e-46,3.791764041926054e-43,1.9345734907785995e-45
118,179826.0,1.270214584840668e-14,9.75524801157633e-12,2.242585749787662e-14
119,111010.0,1.8736103608907417e-52,1.4389327571640897e-49,8.668269621470419e-52
120,46456.0,3.104334849089694e-110,2.384129164100885e-107,1.0365778974351673e-108
121,224183.0,0.00432598414665032,1.0,0.005240308871652123
122,246975.0,0.7199769663226312,1.0,0.7352956251805596
123,156634.0,1.2152156862127053e-24,9.332856470113577e-22,2.794268404225622e-24
124,172869.0,2.4473007756617005e-17,1.879526995708186e-14,4.595420527403877e-17
125,141464.0,1.0754623463974352e-32,8.259550820332302e-30,2.949839578690108e-32
126,127449.0,3.425732703187304e-41,2.6309627160478493e-38,1.1958921436581134e-40
127,125959.0,3.729498159914338e-42,2.8642545868142115e-39,1.3260437901917647e-41
128,165194.0,1.273044212350136e-20,9.776979550849045e-18,2.621174142318779e-20
129,73396.0,1.715918330016552e-83,1.3178252774527122e-80,1.9967049658374424e-82
130,247460.0,0.7600613076289542,1.0,0.7731484559722342
131,73325.0,1.4756003942345118e-83,1.133261102772105e-80,1.7434786196493922e-82
132,144783.0,7.853508316523014e-31,6.031494387089674e-28,2.094268884406137e-30
133,168250.0,2.8098781141828625e-19,2.1579863916924385e-16,5.576192226595448e-19
134,154043.0,6.213382127932281e-26,4.771877474251992e-23,1.481949526165215e-25
135,213509.0,5.7764782055063644e-05,0.04436335261828888,7.519212308184556e-05
136,141145.0,7.071188536679634e-33,5.4306727961699586e-30,1.9464777047204153e-32
137,178326.0,3.4629636991169518e-15,2.659556120921819e-12,6.185014234701904e-15
138,111714.0,6.076701699562209e-52,4.666906905263776e-49,2.794555033092082e-51
139,168320.0,3.012356388673052e-19,2.313489706500904e-16,5.962602336342535e-19
140,157175.0,2.2382689929929858e-24,1.718990586618613e-21,5.10086227483268e-24
141,155816.0,4.794149925518723e-25,3.681907142798379e-22,1.1090081755416804e-24
142,116191.0,9.400384618592484e-49,7.219495387079028e-46,4.055896284875858e-48
143,91850.0,2.3946094723319944e-67,1.8390600747509718e-64,1.6568108781540285e-66
144,231092.0,0.03598632320316308,1.0,0.04206620429228195
145,213996.0,7.23409466217218e-05,0.05555784700548234,9.400650931553695e-05
146,106640.0,1.104895824978059e-55,8.485599935831493e-53,5.6196026065109226e-55
147,184585.0,6.581813712998707e-13,5.054832931583007e-10,1.1012707911945548e-12
148,118718.0,5.340371483917743e-47,4.1014052996488265e-44,2.1586343682362243e-46
149,235333.0,0.1025002092652026,1.0,0.11458538677682038
150,84628.0,1.8681114963250032e-73,1.4347096291776024e-70,1.594121810197336e-72
151,245422.0,0.5971629027046289,1.0,0.6180877483519609
152,167356.0,1.1495630698397324e-19,8.828644376369145e-17,2.2991261396794647e-19
153,92658.0,1.1111003615119103e-66,8.533250776411472e-64,7.485307698606553e-66
154,179951.0,1.4138142754530537e-14,1.0858093635479453e-11,2.4903884485044615e-14
155,209840.0,9.716939270661164e-06,0.007462609359867774,1.3023751064341664e-05
156,240160.0,0.2693865849196081,1.0,0.29016675626684296
157,99742.0,5.5509769137100874e-61,4.2631502697293475e-58,3.229659295249505e-60
158,195290.0,1.7871649608069164e-09,1.3725426898997118e-06,2.6859935223086335e-09
159,230527.0,0.03085573577988875,1.0,0.03617893905183902
160,169410.0,8.834987855079867e-19,6.785270672701338e-16,1.7221499169292735e-18
161,199487.0,2.7501214149199892e-08,2.1120932466585518e-05,3.977576735703487e-08
162,45631.0,4.1072074546015e-111,3.154335325133952e-108,1.4337887841517964e-109
163,183441.0,2.6109151248258515e-13,2.005182815866254e-10,4.4460816316324917e-13
164,129443.0,6.392234987368942e-40,4.9092364702993475e-37,2.1531738904821698e-39
165,228503.0,0.017290087543196376,1.0,0.02046038094479941
166,191897.0,1.686600665121908e-10,1.2953093108136253e-07,2.63274250165371e-10
167,248133.0,0.8167461432888841,1.0,0.8264308801658273
168,134054.0,4.631596772058445e-37,3.5570663209408862e-34,1.4228265283763545e-36
169,221195.0,0.0014705566753417379,1.0,0.0018157355734123065
170,221013.0,0.0013725882789363186,1.0,0.001697500480230423
171,86488.0,7.418594488285946e-72,5.697480567003606e-69,6.192913659786529e-71
172,219741.0,0.000839020424450675,0.6443676859781184,0.0010477523349237698
173,136529.0,1.4306846208924094e-35,1.0987657888453704e-32,4.161991624414282e-35
174,236919.0,0.144497924067959,1.0,0.15944598517843753
175,172594.0,1.889103662950893e-17,1.4508316131462856e-14,3.582300279373545e-17
176,104570.0,3.0135545471317394e-57,2.3144098921971757e-54,1.5961447532394314e-56
177,221746.0,0.001807785185981116,1.0,0.00221432061057974
178,151211.0,2.1992445478001884e-27,1.689019812710545e-24,5.448451008743693e-27
179,73445.0,1.904165977574892e-83,1.4623994707775171e-80,2.1826857772798766e-82
180,234552.0,0.08573428974841825,1.0,0.09668712852685053
181,239347.0,0.23268563985098079,1.0,0.2531197895262794
182,55435.0,6.66527435395323e-101,5.118930703836081e-98,1.5996658449487753e-99
183,78785.0,1.3545679976418244e-78,1.0403082221889212e-75,1.3168458508720522e-77
184,110865.0,1.46931220201423e-52,1.1284317711469286e-49,6.838980431193507e-52
185,174900.0,1.6107162473122868e-16,1.2370300779358363e-13,2.959402100324967e-16
186,181360.0,4.6684880393781013e-14,3.5853988142423815e-11,8.075222554599959e-14
187,165175.0,1.2483549915995723e-20,9.587366335484715e-18,2.577249014915246e-20
188,157708.0,4.0716726518587876e-24,3.127044596627549e-21,9.170218758438559e-24
189,218032.0,0.0004208340354811064,0.3232005392494897,0.000531579834291924
190,40173.0,5.164979460713795e-117,3.9667042258281946e-114,3.0513109429447653e-115
191,86777.0,1.3096184531130974e-71,1.0057869719908588e-68,1.0699861404158073e-70
192,115828.0,5.228868778491749e-49,4.015771221881664e-46,2.268797300498115e-48
193,138701.0,2.734446679875419e-34,2.100055050144322e-31,7.692509341187992e-34
194,193953.0,7.164674557868189e-10,5.502470060442769e-07,1.0895980317708454e-09
195,85523.0,1.1041177888631077e-72,8.479624618468667e-70,9.31826881150403e-72
196,113121.0,6.269374698521364e-51,4.8148797684644076e-48,2.865999862181195e-50
197,89790.0,4.619767290856694e-69,3.547981279377941e-66,3.4446420188135345e-68
198,166665.0,5.723990038809002e-20,4.396024349805313e-17,1.1477870365026928e-19
199,191355.0,1.1424243260136402e-10,8.773818823784757e-08,1.797913693398516e-10
200,230886.0,0.03403715924925001,1.0,0.03984838156009757
201,172616.0,1.9286996905956177e-17,1.4812413623774346e-14,3.648377739845897e-17
202,239522.0,0.24026954219889385,1.0,0.26100001189356503
203,93800.0,9.59429909434772e-66,7.368421704459049e-63,6.352087676257801e-65
204,194137.0,8.135176696132254e-10,6.247815702629571e-07,1.2347461862904292e-09
205,127304.0,2.7639705440599506e-41,2.122729377838042e-38,9.692828209306129e-41
206,87983.0,1.3882373287345417e-70,1.066166268468128e-67,1.0879247637429879e-69
207,216203.0,0.00019387347088691193,0.14889482564114837,0.00024774513417828345
208,99120.0,1.796521141095152e-61,1.3797282363610767e-58,1.0695567723729278e-60
209,183957.0,3.969551332586971e-13,3.0486154234267936e-10,6.700253677861086e-13
210,87803.0,9.770348784938197e-71,7.503627866832535e-68,7.735698831786118e-70
211,90416.0,1.5416696369031517e-68,1.1840022811416204e-65,1.1276212201348766e-67
212,106942.0,1.8607067499453297e-55,1.4290227839580133e-52,9.279368727000085e-55
213,234274.0,0.08033037584083744,1.0,0.09126291219787448
214,195295.0,1.7932140864282243e-09,1.3771884183768761e-06,2.6898211296423366e-09
215,161100.0,1.6951386036165285e-22,1.301866447577494e-19,3.6672294297957573e-22
216,189973.0,4.1654716512298345e-11,3.199082228144513e-08,6.650898603211045e-11
217,196589.0,4.257490758704267e-09,3.269752902684877e-06,6.336730431559839e-09
218,244735.0,0.5460527547816866,1.0,0.5705694090780072
219,233572.0,0.06790827257298737,1.0,0.07772511674523741
220,158453.0,9.344115890839159e-24,7.176281004164475e-21,2.0861281988850216e-23
221,227830.0,0.014121865158197673,1.0,0.016788842788693206
222,207723.0,3.23807299932581e-06,0.002486840063482222,4.44872998834029e-06
223,161562.0,2.787331624857186e-22,2.1406706878903191e-19,5.979527061146142e-22
224,133474.0,2.051258290198388e-37,1.5753663668723621e-34,6.403928320619358e-37
225,86774.0,1.301921602919693e-71,9.998757910423243e-69,1.0699861404158073e-70
226,204901.0,6.905118029542076e-07,0.0005303130646688314,9.677245705635611e-07
227,137487.0,5.293009073737124e-35,4.0650309686301116e-32,1.5111639288587773e-34
228,236467.0,0.13137005208137115,1.0,0.14516863309135689
229,157551.0,3.4149216329556696e-24,2.6226598141099542e-21,7.736459628642933e-24
230,82156.0,1.314039871533695e-75,1.0091826213378777e-72,1.1734681643463693e-74
231,159346.0,2.5072764582625277e-23,1.9255883199456213e-20,5.533299769958681e-23
232,243369.0,0.4513229913557374,1.0,0.47581434411683726
233,204113.0,4.411864624432772e-07,0.00033883120315643687,6.217086296448383e-07
234,217034.0,0.0002770061063907846,0.21274068970812254,0.00035221968494722277
235,132287.0,3.825679920382605e-38,2.9381221788538407e-35,1.2293398237882179e-37
236,245125.0,0.5748008501332077,1.0,0.5973573110991928
237,145088.0,1.1573156447114635e-30,8.88818415138404e-28,3.0648910866841516e-30
238,171372.0,5.914957821104515e-18,4.542687606608268e-15,1.1385181971449293e-17
239,216003.0,0.000177710274004531,0.1364814904354798,0.00022746915072579968
240,140055.0,1.6722111453733517e-33,1.2842581596467341e-30,4.65310927408237e-33
241,210551.0,1.3892683385598788e-05,0.010669580840139869,1.852357784746505e-05
242,131520.0,1.2810756707772563e-38,9.838661151569328e-36,4.168924216766664e-38
243,191059.0,9.221458095989357e-11,7.082079817719826e-08,1.4602226428288302e-10
244,247357.0,0.7514902846194228,1.0,0.7664602106078575
245,207367.0,2.678106017391141e-06,0.002056785421356396,3.6926129647332074e-06
246,192874.0,3.374457842414714e-10,2.5915836229745006e-07,5.214453969767606e-10
247,130595.0,3.3924674974677494e-39,2.6054150380552313e-36,1.1182038789936615e-38
248,129522.0,7.171013509295087e-40,5.507338375138627e-37,2.4049512555190513e-39
249,99117.0,1.786752632484092e-61,1.3722260217477826e-58,1.0695567723729278e-60
250,235880.0,0.1157244584363911,1.0,0.12824875047496156
251,195234.0,1.720758634153164e-09,1.3215426310296298e-06,2.5912600608424113e-09
252,168580.0,3.8987664421633204e-19,2.99425262758143e-16,7.697307525916273e-19
253,133783.0,3.167227028582026e-37,2.432430357950996e-34,9.847896186036422e-37
254,237360.0,0.1582531086187864,1.0,0.1741237642109283
255,121875.0,7.463105980918348e-45,5.7316653933452916e-42,2.8096398986986723e-44
